Patient ID: 6, Timestamp: 1748208052805, Label: ECG, Data: -0.2986676204742772
Patient ID: 20, Timestamp: 1748208052802, Label: ECG, Data: -0.08630101514805792
Patient ID: 26, Timestamp: 1748208052807, Label: ECG, Data: -0.4606791823753798
Patient ID: 11, Timestamp: 1748208052818, Label: ECG, Data: -0.3315152116539751
Patient ID: 7, Timestamp: 1748208052820, Label: ECG, Data: 0.1727648812365054
Patient ID: 34, Timestamp: 1748208052827, Label: ECG, Data: 0.7374897084098437
Patient ID: 43, Timestamp: 1748208052826, Label: ECG, Data: 0.5291156253160364
Patient ID: 10, Timestamp: 1748208052828, Label: ECG, Data: -0.12201593456395693
Patient ID: 9, Timestamp: 1748208052840, Label: ECG, Data: -0.335807010225318
Patient ID: 14, Timestamp: 1748208052842, Label: ECG, Data: 0.6935083740160545
Patient ID: 12, Timestamp: 1748208052845, Label: ECG, Data: -0.02886087617742568
Patient ID: 13, Timestamp: 1748208052844, Label: ECG, Data: -0.14308146617728718
Patient ID: 46, Timestamp: 1748208052845, Label: ECG, Data: -0.3101913612456086
Patient ID: 50, Timestamp: 1748208052843, Label: ECG, Data: -0.48846982812124756
Patient ID: 33, Timestamp: 1748208053815, Label: ECG, Data: -0.252431252273838
Patient ID: 20, Timestamp: 1748208053806, Label: ECG, Data: 0.6761466996639114
Patient ID: 6, Timestamp: 1748208053807, Label: ECG, Data: 0.6768880937899012
Patient ID: 42, Timestamp: 1748208053822, Label: ECG, Data: -0.5027168461258654
Patient ID: 45, Timestamp: 1748208053804, Label: ECG, Data: -0.29257396021390936
Patient ID: 26, Timestamp: 1748208053808, Label: ECG, Data: -0.3917844361242122
Patient ID: 21, Timestamp: 1748208053808, Label: ECG, Data: -0.08864741723728664
Patient ID: 43, Timestamp: 1748208053833, Label: ECG, Data: 0.6511272135091853
Patient ID: 1, Timestamp: 1748208053832, Label: ECG, Data: 0.10793963580358462
Patient ID: 12, Timestamp: 1748208053846, Label: ECG, Data: -0.37706594717175473
Patient ID: 11, Timestamp: 1748208053819, Label: ECG, Data: 0.3148895343247506
Patient ID: 18, Timestamp: 1748208053846, Label: ECG, Data: 0.2905333177284902
Patient ID: 10, Timestamp: 1748208053833, Label: ECG, Data: 0.02959067997964302
Patient ID: 28, Timestamp: 1748208053821, Label: ECG, Data: -0.19864887527146294
Patient ID: 48, Timestamp: 1748208053815, Label: ECG, Data: -0.17731705954069282
Patient ID: 7, Timestamp: 1748208053821, Label: ECG, Data: -0.4803283992237275
Patient ID: 13, Timestamp: 1748208053846, Label: ECG, Data: -0.02676002578507028
